Timestamp,RelativeTime(s),Random_Noise_Source,Sine_Wave_Generator,Square_Wave_Test
1746168422634,0.054,-1.423583,5.358268,2.500000
1746168422744,0.164,1.786551,-1.253332,-2.500000
1746168422853,0.273,1.515823,-6.374240,2.500000
1746168422962,0.382,-0.482657,-6.845471,-2.500000
1746168423072,0.492,1.628446,-9.297765,2.500000
1746168423181,0.601,0.024771,-9.297765,-2.500000
1746168423290,0.710,-1.281235,-5.358268,2.500000
1746168423400,0.820,0.522239,0.627905,2.500000
1746168423509,0.929,2.282680,6.845471,-2.500000
1746168423619,1.039,0.906841,9.685832,2.500000
1746168423728,1.148,-0.365510,9.297765,-2.500000
1746168423838,1.258,-0.629814,5.358268,2.500000
1746168423949,1.369,-0.164623,-1.253332,-2.500000
1746168424057,1.477,0.568797,-6.845471,2.500000
1746168424166,1.586,-0.430957,-9.685832,-2.500000
1746168424276,1.696,-0.874829,-9.048271,2.500000
1746168424385,1.805,1.570670,-5.358268,-2.500000
1746168424494,1.914,-0.344598,1.253332,-2.500000
1746168424604,2.024,-0.277879,6.845471,2.500000
1746168424712,2.132,1.298051,9.685832,-2.500000
1746168424822,2.242,0.650360,9.822873,2.500000
1746168424931,2.351,-1.176060,9.297765,-2.500000
1746168425041,2.461,0.365969,4.817537,2.500000
1746168425150,2.570,1.495885,-1.253332,-2.500000
1746168425261,2.681,-0.487106,-6.374240,2.500000
1746168425369,2.789,0.663215,-9.685832,-2.500000
1746168425478,2.898,-0.611028,-9.048271,2.500000
1746168425589,3.009,0.281278,-5.358268,-2.500000
1746168425697,3.117,1.401557,1.253332,-2.500000
1746168425811,3.231,-1.252246,6.845471,2.500000
1746168425916,3.336,-1.027462,9.822873,-2.500000
1746168426027,3.447,0.508249,9.048271,2.500000
1746168426134,3.554,1.009508,4.817537,-2.500000
1746168426249,3.669,2.144170,-1.253332,2.500000
1746168426353,3.773,0.208419,-6.374240,-2.500000
1746168426464,3.884,0.960800,-9.822873,2.500000
1746168426574,3.994,-0.122638,-9.297765,-2.500000
1746168426682,4.102,-0.243591,-9.297765,2.500000
1746168426790,4.210,1.846412,-5.358268,-2.500000
1746168426901,4.321,1.861438,1.253332,-2.500000
1746168427011,4.431,-0.848235,6.374240,2.500000
1746168427121,4.541,-1.135995,9.822873,-2.500000
1746168427230,4.650,1.609633,9.297765,2.500000
1746168427338,4.758,1.739065,5.358268,-2.500000
1746168427447,4.867,0.425115,-0.627905,2.500000
1746168427556,4.976,-1.144500,-6.374240,-2.500000
1746168427665,5.085,0.613943,-9.822873,2.500000
