Timestamp,ReadableTime,RelativeTime(s),Random_Noise_Source,Sine_Wave_Generator,Square_Wave_Test
1746170315479,15:18:35.479,0.003,,,
1746170315587,15:18:35.587,0.111,2.314406,-5.358268,2.500000
1746170315697,15:18:35.697,0.221,1.289503,0.627905,2.500000
1746170315808,15:18:35.808,0.332,-0.323843,6.374240,-2.500000
1746170315916,15:18:35.916,0.440,-1.311482,9.685832,2.500000
1746170316026,15:18:36.026,0.550,1.606126,9.510565,-2.500000
1746170316135,15:18:36.135,0.659,0.038603,5.877853,2.500000
1746170316247,15:18:36.247,0.771,-1.326519,0.000000,-2.500000
1746170316357,15:18:36.357,0.881,0.042244,-5.877853,2.500000
1746170316463,15:18:36.463,0.987,0.298099,-9.685832,-2.500000
1746170316572,15:18:36.572,1.096,-0.044983,-9.510565,2.500000
1746170316686,15:18:36.686,1.210,-1.237245,-5.877853,-2.500000
1746170316791,15:18:36.791,1.315,0.291281,0.000000,-2.500000
1746170316900,15:18:36.900,1.424,0.039328,5.877853,2.500000
1746170317012,15:18:37.012,1.536,-0.426179,9.685832,-2.500000
1746170317123,15:18:37.123,1.647,1.539641,9.510565,2.500000
1746170317229,15:18:37.229,1.753,2.394071,5.877853,-2.500000
1746170317337,15:18:37.337,1.861,1.649245,5.877853,2.500000
1746170317448,15:18:37.448,1.972,-0.107903,0.000000,-2.500000
1746170317557,15:18:37.557,2.081,-0.905356,-6.374240,2.500000
1746170317667,15:18:37.667,2.191,-0.790867,-9.510565,-2.500000
1746170317775,15:18:37.775,2.299,1.632323,-9.297765,2.500000
1746170317885,15:18:37.885,2.409,2.484460,-5.877853,-2.500000
1746170317994,15:18:37.994,2.518,-0.350198,0.000000,-2.500000
1746170318107,15:18:38.107,2.631,0.005597,5.877853,2.500000
1746170318212,15:18:38.212,2.736,1.436236,9.685832,-2.500000
1746170318323,15:18:38.323,2.847,-1.122561,9.297765,2.500000
1746170318436,15:18:38.436,2.960,-0.383660,5.877853,-2.500000
1746170318541,15:18:38.541,3.065,-1.331412,0.000000,2.500000
1746170318651,15:18:38.651,3.175,1.760749,-6.374240,-2.500000
1746170318761,15:18:38.761,3.285,0.543923,-9.510565,2.500000
1746170318870,15:18:38.870,3.394,1.087527,-9.510565,-2.500000
1746170318978,15:18:38.978,3.502,-1.046316,-9.297765,2.500000
1746170319087,15:18:39.087,3.611,2.041605,-5.877853,-2.500000
1746170319197,15:18:39.197,3.721,-0.855041,0.627905,-2.500000
1746170319307,15:18:39.307,3.831,0.778764,6.374240,2.500000
1746170319415,15:18:39.415,3.939,0.957152,9.510565,-2.500000
1746170319527,15:18:39.527,4.051,1.013543,9.510565,2.500000
1746170319637,15:18:39.637,4.161,-1.021186,5.877853,-2.500000
1746170319744,15:18:39.744,4.268,2.260945,-0.000000,2.500000
1746170319853,15:18:39.853,4.377,-0.723805,-5.877853,-2.500000
1746170319963,15:18:39.963,4.487,-0.589150,-9.685832,2.500000
1746170320072,15:18:40.072,4.596,1.384536,-9.510565,-2.500000
1746170320181,15:18:40.181,4.705,-0.646611,-5.877853,2.500000
1746170320292,15:18:40.292,4.816,1.581914,0.000000,2.500000
1746170320402,15:18:40.402,4.926,1.890194,6.374240,-2.500000
1746170320511,15:18:40.511,5.035,1.446695,9.510565,2.500000
1746170320619,15:18:40.619,5.143,-0.728675,9.297765,-2.500000
1746170320728,15:18:40.728,5.252,2.188380,5.877853,2.500000
1746170320837,15:18:40.837,5.361,1.784646,5.877853,-2.500000
1746170320947,15:18:40.947,5.471,2.089174,-0.000000,2.500000
1746170321056,15:18:41.056,5.580,2.235728,-5.877853,-2.500000
1746170321167,15:18:41.167,5.691,-0.605450,-9.510565,2.500000
1746170321278,15:18:41.278,5.802,0.284225,-9.297765,-2.500000
1746170321387,15:18:41.387,5.911,1.763944,-5.877853,2.500000
1746170321494,15:18:41.494,6.018,2.468915,-0.000000,-2.500000
1746170321603,15:18:41.603,6.127,-1.450380,6.374240,-2.500000
1746170321713,15:18:41.713,6.237,-0.098996,9.510565,2.500000
1746170321823,15:18:41.823,6.347,1.257611,9.510565,-2.500000
1746170321931,15:18:41.931,6.455,1.955334,5.877853,2.500000
1746170322042,15:18:42.042,6.566,0.437634,0.000000,-2.500000
1746170322150,15:18:42.150,6.674,0.387076,-6.374240,2.500000
1746170322259,15:18:42.259,6.783,-1.187422,-9.510565,-2.500000
1746170322369,15:18:42.369,6.893,2.302674,-9.510565,2.500000
1746170322478,15:18:42.478,7.002,-1.448864,-5.877853,-2.500000
1746170322587,15:18:42.587,7.111,-0.486713,-5.877853,2.500000
1746170322697,15:18:42.697,7.221,-0.974031,0.000000,2.500000
1746170322807,15:18:42.807,7.331,-0.786981,5.877853,-2.500000
1746170322917,15:18:42.917,7.441,2.314211,9.510565,2.500000
1746170323026,15:18:43.026,7.550,0.558392,9.297765,-2.500000
1746170323137,15:18:43.137,7.661,0.478466,5.877853,2.500000
1746170323244,15:18:43.244,7.768,-1.364307,0.000000,-2.500000
1746170323353,15:18:43.353,7.877,-0.166374,-5.877853,2.500000
1746170323463,15:18:43.463,7.987,-0.819261,-9.510565,-2.500000
1746170323572,15:18:43.572,8.096,2.153657,-9.297765,2.500000
1746170323682,15:18:43.682,8.206,0.419789,-5.877853,-2.500000
1746170323791,15:18:43.791,8.315,0.155849,-5.358268,2.500000
1746170323900,15:18:43.900,8.424,-1.070283,6.374240,2.500000
