ReadableTime,RelativeTime(s),Random_Noise_Source,Sine_Wave_Generator,Square_Wave_Test
15:22:26.807,0.091,-1.264485,-9.510565,2.500000
15:22:26.916,0.200,-0.019665,-9.510565,-2.500000
15:22:27.025,0.309,-1.300766,-5.877853,2.500000
15:22:27.134,0.418,-1.039111,0.627905,2.500000
15:22:27.246,0.530,1.595218,5.877853,-2.500000
15:22:27.354,0.638,1.256950,9.685832,2.500000
15:22:27.463,0.747,2.358392,9.297765,-2.500000
15:22:27.573,0.857,1.808357,5.877853,2.500000
15:22:27.682,0.966,2.341700,-0.627905,-2.500000
15:22:27.792,1.076,-0.650456,-5.877853,2.500000
15:22:27.901,1.185,1.000403,-9.510565,-2.500000
15:22:28.009,1.293,-0.074780,-9.510565,2.500000
15:22:28.119,1.403,-1.049047,-5.358268,-2.500000
15:22:28.228,1.512,0.369513,-0.000000,2.500000
15:22:28.337,1.621,2.348811,5.877853,2.500000
15:22:28.447,1.731,0.479949,6.374240,-2.500000
15:22:28.556,1.840,-1.473750,9.510565,2.500000
15:22:28.666,1.950,1.387693,9.510565,-2.500000
15:22:28.776,2.060,0.401054,5.877853,2.500000
15:22:28.886,2.170,0.539544,0.000000,-2.500000
15:22:28.996,2.280,1.157210,-6.374240,2.500000
15:22:29.106,2.390,-1.066148,-9.510565,-2.500000
15:22:29.213,2.497,-1.041260,-9.510565,2.500000
15:22:29.326,2.610,-1.457987,-5.358268,-2.500000
15:22:29.437,2.721,1.419432,0.000000,-2.500000
15:22:29.544,2.828,1.501079,5.877853,2.500000
15:22:29.650,2.934,-0.261610,9.510565,-2.500000
15:22:29.761,3.045,-0.883958,9.297765,2.500000
15:22:29.870,3.154,1.622773,5.877853,-2.500000
15:22:29.978,3.262,0.589068,-0.627905,2.500000
15:22:30.088,3.372,-1.092979,-6.374240,-2.500000
15:22:30.197,3.481,-0.156494,-5.877853,2.500000
15:22:30.307,3.591,1.612542,-9.685832,-2.500000
15:22:30.416,3.700,0.747133,-9.510565,2.500000
15:22:30.526,3.810,2.057400,-5.358268,-2.500000
15:22:30.635,3.919,-0.034948,-0.000000,2.500000
15:22:30.746,4.030,1.778176,5.877853,2.500000
15:22:30.856,4.140,-0.559440,9.685832,-2.500000
15:22:30.963,4.247,1.662697,9.510565,2.500000
15:22:31.072,4.356,0.582432,5.877853,-2.500000
15:22:31.186,4.470,-0.416984,-0.000000,2.500000
15:22:31.293,4.577,-1.474834,-5.877853,-2.500000
15:22:31.401,4.685,0.119720,-9.510565,2.500000
15:22:31.509,4.793,0.129371,-9.510565,-2.500000
15:22:31.618,4.902,-0.780039,-5.358268,2.500000
15:22:31.730,5.014,-0.144185,0.000000,2.500000
15:22:31.837,5.121,-0.047408,5.877853,-2.500000
15:22:31.947,5.231,0.897109,5.877853,2.500000
15:22:32.056,5.340,2.446374,9.685832,-2.500000
15:22:32.166,5.450,1.532225,9.297765,2.500000
15:22:32.276,5.560,-0.531742,5.358268,-2.500000
15:22:32.386,5.670,-0.427796,-0.000000,2.500000
15:22:32.497,5.781,0.935526,-5.877853,-2.500000
15:22:32.606,5.890,2.331615,-9.510565,2.500000
15:22:32.713,5.997,1.497350,-9.297765,-2.500000
15:22:32.822,6.106,-0.374831,-5.877853,2.500000
15:22:32.933,6.217,2.000678,-0.000000,-2.500000
15:22:33.045,6.329,0.080526,6.374240,-2.500000
15:22:33.152,6.436,-0.191465,9.510565,2.500000
15:22:33.260,6.544,0.515618,9.297765,-2.500000
15:22:33.370,6.654,1.821022,5.877853,2.500000
15:22:33.482,6.766,-0.142807,0.000000,-2.500000
15:22:33.588,6.872,1.795374,-5.877853,2.500000
15:22:33.699,6.983,-0.248365,-9.510565,-2.500000
15:22:33.807,7.091,1.385568,-9.685832,2.500000
15:22:33.916,7.200,-0.745639,-9.297765,-2.500000
15:22:34.025,7.309,1.303985,9.297765,2.500000
