ReadableTime,RelativeTime(s),Square_Wave_Test
15:23:42.368,0.034,2.500000
15:23:42.479,0.145,-2.500000
15:23:42.589,0.255,2.500000
15:23:42.698,0.364,-2.500000
15:23:42.808,0.474,2.500000
15:23:42.915,0.581,-2.500000
15:23:43.026,0.692,2.500000
15:23:43.135,0.801,-2.500000
15:23:43.245,0.911,2.500000
15:23:43.353,1.019,2.500000
15:23:43.463,1.129,-2.500000
15:23:43.572,1.238,2.500000
15:23:43.681,1.347,-2.500000
15:23:43.792,1.458,2.500000
15:23:43.904,1.570,-2.500000
15:23:44.009,1.675,2.500000
15:23:44.122,1.788,-2.500000
15:23:44.230,1.896,2.500000
15:23:44.340,2.006,-2.500000
15:23:44.447,2.113,-2.500000
15:23:44.557,2.223,2.500000
15:23:44.666,2.332,-2.500000
15:23:44.775,2.441,2.500000
15:23:44.885,2.551,-2.500000
15:23:44.996,2.662,2.500000
15:23:45.105,2.771,-2.500000
15:23:45.212,2.878,2.500000
15:23:45.323,2.989,-2.500000
15:23:45.432,3.098,2.500000
15:23:45.543,3.209,-2.500000
15:23:45.651,3.317,2.500000
15:23:45.759,3.425,2.500000
15:23:45.870,3.536,-2.500000
15:23:45.978,3.644,2.500000
15:23:46.088,3.754,-2.500000
15:23:46.199,3.865,2.500000
15:23:46.309,3.975,-2.500000
15:23:46.415,4.081,2.500000
15:23:46.525,4.191,-2.500000
15:23:46.635,4.301,2.500000
15:23:46.745,4.411,-2.500000
15:23:46.856,4.522,-2.500000
15:23:46.963,4.629,2.500000
15:23:47.072,4.738,-2.500000
15:23:47.181,4.847,2.500000
15:23:47.291,4.957,-2.500000
15:23:47.401,5.067,2.500000
15:23:47.509,5.175,-2.500000
15:23:47.619,5.285,2.500000
15:23:47.728,5.394,-2.500000
15:23:47.838,5.504,2.500000
15:23:47.949,5.615,2.500000
15:23:48.059,5.725,-2.500000
15:23:48.168,5.834,2.500000
15:23:48.276,5.942,-2.500000
15:23:48.385,6.051,2.500000
15:23:48.495,6.161,-2.500000
15:23:48.606,6.272,2.500000
15:23:48.713,6.379,-2.500000
15:23:48.824,6.490,2.500000
15:23:48.932,6.598,-2.500000
15:23:49.042,6.708,2.500000
15:23:49.150,6.816,-2.500000
15:23:49.259,6.925,-2.500000
15:23:49.369,7.035,2.500000
