ReadableTime,RelativeTime(s)
17:52:28.025,0.133
17:52:28.137,0.245
17:52:28.248,0.356
17:52:28.356,0.464
17:52:28.465,0.573
17:52:28.573,0.681
17:52:28.684,0.792
17:52:28.797,0.905
17:52:28.901,1.009
17:52:29.011,1.119
17:52:29.122,1.230
17:52:29.233,1.341
17:52:29.340,1.448
17:52:29.447,1.555
17:52:29.558,1.666
17:52:29.666,1.774
17:52:29.777,1.885
17:52:29.885,1.993
17:52:29.998,2.106
17:52:30.107,2.215
17:52:30.213,2.321
17:52:30.323,2.431
17:52:30.433,2.541
17:52:30.542,2.650
17:52:30.651,2.759
17:52:30.761,2.869
17:52:30.874,2.982
17:52:30.984,3.092
17:52:31.088,3.196
17:52:31.199,3.307
17:52:31.309,3.417
17:52:31.416,3.524
17:52:31.526,3.634
17:52:31.637,3.745
17:52:31.745,3.853
17:52:31.858,3.966
17:52:31.965,4.073
17:52:32.072,4.180
17:52:32.184,4.292
17:52:32.292,4.400
17:52:32.401,4.509
17:52:32.510,4.618
17:52:32.621,4.729
17:52:32.732,4.840
