ReadableTime,RelativeTime(s),SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2
23:01:55.001,2.093,25.660000,25.720000
23:01:55.112,2.204,25.660000,25.720000
23:01:55.221,2.313,25.660000,25.720000
23:01:55.329,2.421,25.660000,25.720000
23:01:55.443,2.535,25.660000,25.720000
23:01:55.548,2.640,25.660000,25.720000
23:01:55.657,2.749,25.670000,25.720000
23:01:55.767,2.859,25.660000,25.720000
23:01:55.877,2.969,25.660000,25.720000
23:01:55.988,3.080,25.660000,25.720000
23:01:56.095,3.187,25.660000,25.720000
23:01:56.204,3.296,25.670000,25.720000
23:01:56.318,3.410,25.670000,25.720000
23:01:56.423,3.515,25.670000,25.720000
23:01:56.532,3.624,25.670000,25.720000
23:01:56.645,3.737,25.660000,25.720000
23:01:56.751,3.843,25.660000,25.720000
23:01:56.860,3.952,25.660000,25.720000
23:01:56.972,4.064,25.660000,25.720000
23:01:57.079,4.171,25.660000,25.720000
23:01:57.190,4.282,25.660000,25.720000
23:01:57.297,4.389,25.650000,25.720000
23:01:57.407,4.499,25.660000,25.720000
23:01:57.519,4.611,25.660000,25.720000
23:01:57.631,4.723,25.660000,25.720000
23:01:57.737,4.829,25.660000,25.720000
23:01:57.845,4.937,25.660000,25.720000
23:01:57.954,5.046,25.660000,25.720000
23:01:58.067,5.159,25.660000,25.720000
23:01:58.174,5.266,25.660000,25.720000
23:01:58.283,5.375,25.660000,25.720000
23:01:58.393,5.485,25.660000,25.720000
23:01:58.501,5.593,25.660000,25.720000
23:01:58.611,5.703,25.660000,25.720000
23:01:58.719,5.811,25.660000,25.720000
23:01:58.829,5.921,25.660000,25.710000
23:01:58.940,6.032,25.660000,25.710000
23:01:59.047,6.139,25.660000,25.710000
23:01:59.157,6.249,25.660000,25.710000
23:01:59.271,6.363,25.660000,25.710000
23:01:59.377,6.469,25.650000,25.710000
23:01:59.486,6.578,25.660000,25.710000
23:01:59.595,6.687,25.660000,25.710000
23:01:59.704,6.796,25.660000,25.710000
23:01:59.819,6.911,25.660000,25.710000
23:01:59.923,7.015,25.660000,25.700000
23:02:00.032,7.124,25.660000,25.710000
23:02:00.144,7.236,25.660000,25.710000
23:02:00.251,7.343,25.660000,25.710000
23:02:00.362,7.454,25.660000,25.710000
23:02:00.470,7.562,25.660000,25.710000
23:02:00.580,7.672,25.660000,25.710000
23:02:00.688,7.780,25.660000,25.710000
23:02:00.798,7.890,25.660000,25.710000
23:02:00.907,7.999,25.660000,25.710000
23:02:01.016,8.108,25.660000,25.710000
23:02:01.127,8.219,25.660000,25.710000
23:02:01.236,8.328,25.670000,25.710000
23:02:01.346,8.438,25.670000,25.710000
23:02:01.454,8.546,25.660000,25.710000
23:02:01.568,8.660,25.660000,25.710000
23:02:01.675,8.767,25.670000,25.710000
23:02:01.783,8.875,25.660000,25.700000
23:02:01.896,8.988,25.670000,25.710000
23:02:02.003,9.095,25.670000,25.700000
23:02:02.112,9.204,25.670000,25.700000
23:02:02.220,9.312,25.670000,25.700000
23:02:02.330,9.422,25.670000,25.700000
23:02:02.441,9.533,25.670000,25.700000
23:02:02.548,9.640,25.670000,25.710000
23:02:02.657,9.749,25.660000,25.710000
23:02:02.766,9.858,25.660000,25.710000
23:02:02.880,9.972,25.670000,25.700000
23:02:02.986,10.078,25.670000,25.700000
23:02:03.096,10.188,25.670000,25.700000
23:02:03.208,10.300,25.670000,25.700000
23:02:03.314,10.406,25.670000,25.700000
23:02:03.423,10.515,25.660000,25.700000
23:02:03.534,10.626,25.660000,25.700000
23:02:03.645,10.737,25.660000,25.690000
23:02:03.752,10.844,25.660000,25.690000
23:02:03.862,10.954,25.660000,25.690000
23:02:03.970,11.062,25.660000,25.680000
23:02:04.080,11.172,25.660000,25.680000
23:02:04.190,11.282,25.660000,25.680000
23:02:04.297,11.389,25.660000,25.680000
23:02:04.410,11.502,25.660000,25.680000
23:02:04.517,11.609,25.660000,25.690000
23:02:04.626,11.718,25.660000,25.690000
23:02:04.736,11.828,25.660000,25.690000
23:02:04.845,11.937,25.660000,25.700000
23:02:04.954,12.046,25.660000,25.700000
23:02:05.063,12.155,25.660000,25.700000
23:02:05.173,12.265,25.660000,25.700000
