ReadableTime,RelativeTime(s),Dev1_Strain_Gauge_1,Dev1_Strain_Gauge_2,Dev1_Temperature_TC1,Dev1_Vibration_X,Dev1_Vibration_Y,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
23:44:31.656,0.079,1.581132,-9.100018,0.001141,-0.018592,-0.028458,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:31.766,0.189,2.067245,-9.100018,0.001141,-0.013659,-0.013659,26.130000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:31.875,0.298,1.581132,-9.100018,0.006074,-0.008726,-0.018592,26.130000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:31.985,0.408,1.581132,-9.100018,0.001141,-0.013659,-0.018592,26.130000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.095,0.518,1.581132,-9.100018,-0.003792,-0.013659,-0.013659,26.130000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.205,0.628,1.581132,-9.100018,0.001141,-0.013659,-0.013659,26.130000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.312,0.735,2.067245,-9.100018,0.001141,-0.008726,-0.008726,26.130000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.422,0.845,2.067245,-9.100018,0.001141,-0.008726,-0.008726,26.130000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.534,0.957,1.581132,-9.100018,0.001141,-0.008726,-0.013659,26.130000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.639,1.062,1.095992,-9.099995,0.006074,-0.008726,-0.008726,26.120000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.749,1.172,0.611825,-9.099971,0.001141,-0.008726,-0.008726,26.120000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.858,1.281,2.067245,-9.100018,0.006074,-0.003792,-0.008726,26.120000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:32.968,1.391,1.581132,-9.100041,0.001141,-0.008726,-0.008726,26.120000,25.750000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.077,1.500,1.581132,-9.100018,0.006074,-0.013659,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.187,1.610,2.067245,-9.100018,0.001141,-0.013659,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.296,1.719,2.067245,-9.099971,0.011007,-0.008726,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.408,1.831,0.128632,-9.099948,0.015940,-0.008726,-0.008726,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.515,1.938,1.581132,-9.099995,0.001141,-0.013659,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.625,2.048,1.581132,-9.100018,0.001141,-0.018592,-0.028458,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.734,2.157,2.067245,-9.100018,0.001141,-0.013659,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.845,2.268,1.581132,-9.099925,0.015940,-0.008726,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:33.952,2.375,2.067245,-9.100064,-0.003792,-0.013659,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.063,2.486,1.095992,-9.100018,0.001141,-0.013659,-0.023525,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.171,2.594,2.067245,-9.100018,0.001141,-0.018592,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.283,2.706,3.042392,-9.100018,0.001141,-0.013659,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.391,2.814,2.067245,-9.100018,0.006074,-0.008726,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.502,2.925,0.128632,-9.099971,0.006074,-0.013659,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.609,3.032,2.067245,-9.100018,0.001141,-0.018592,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.720,3.143,1.095992,-9.100018,-0.003792,-0.013659,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.827,3.250,2.067245,-9.100018,0.001141,-0.008726,-0.013659,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:34.937,3.360,1.581132,-9.100018,0.001141,-0.008726,-0.008726,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.049,3.472,2.067245,-9.100018,0.001141,-0.018592,-0.023525,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.157,3.580,1.581132,-9.100064,-0.008726,-0.018592,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.265,3.688,1.581132,-9.100041,-0.003792,-0.018592,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.375,3.798,1.581132,-9.100041,0.001141,-0.013659,-0.018592,26.120000,25.760000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.485,3.908,1.581132,-9.100041,-0.003792,-0.018592,-0.018592,26.120000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.593,4.016,1.581132,-9.100018,0.001141,-0.018592,-0.018592,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:35.705,4.128,1.581132,-9.100018,0.001141,-0.018592,-0.018592,26.130000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
