ReadableTime,RelativeTime(s),Engine_ECU_cylinder_temp,Engine_ECU_exhaust_temp,Engine_ECU_fuel_pressure,Engine_ECU_intake_pressure,Engine_ECU_intake_temp,Engine_ECU_rotor_temp,Engine_ECU_speed,Engine_ECU_supply_voltage,Engine_ECU_throttle_position
00:37:41.250,0.066,,,,,,,,,
00:37:41.358,0.174,85.790000,606.750000,151.000000,45.000000,13.000000,32.000000,3769.000000,11.000000,37.700001
00:37:41.468,0.284,45.750000,305.750000,113.000000,34.000000,0.000000,14.000000,2831.000000,8.000000,28.299999
00:37:41.582,0.398,45.750000,305.750000,113.000000,34.000000,0.000000,14.000000,2831.000000,8.000000,28.299999
00:37:41.689,0.505,18.960000,125.750000,79.000000,24.000000,-12.000000,-2.000000,1979.000000,6.000000,19.799999
00:37:41.796,0.612,18.960000,125.750000,79.000000,24.000000,-12.000000,-2.000000,1979.000000,6.000000,19.799999
00:37:41.906,0.722,1.110000,24.000000,50.000000,15.000000,-23.000000,-16.000000,1248.000000,4.000000,12.500000
00:37:42.015,0.831,1.110000,24.000000,50.000000,15.000000,-23.000000,-16.000000,1248.000000,4.000000,12.500000
00:37:42.124,0.940,-9.250000,-12.000000,27.000000,8.000000,-31.000000,-27.000000,666.000000,2.000000,6.700000
00:37:42.236,1.052,-9.250000,-12.000000,27.000000,8.000000,-31.000000,-27.000000,666.000000,2.000000,6.700000
00:37:42.349,1.165,-13.840000,-18.000000,11.000000,3.000000,-36.000000,-35.000000,257.000000,1.000000,2.600000
00:37:42.454,1.270,-13.840000,-18.000000,11.000000,3.000000,-36.000000,-35.000000,257.000000,1.000000,2.600000
00:37:42.563,1.379,-15.010000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,123.000000,0.000000,1.200000
00:37:42.672,1.488,-15.010000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,123.000000,0.000000,1.200000
00:37:42.783,1.599,-16.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,1.000000,0.000000,0.000000
00:37:42.891,1.707,-15.360000,-18.000000,3.000000,1.000000,-39.000000,-38.000000,79.000000,0.000000,0.800000
00:37:43.003,1.819,-15.360000,-18.000000,3.000000,1.000000,-39.000000,-38.000000,79.000000,0.000000,0.800000
00:37:43.109,1.925,-12.960000,-18.000000,14.000000,4.000000,-35.000000,-33.000000,353.000000,1.000000,3.500000
00:37:43.221,2.037,-12.960000,-18.000000,14.000000,4.000000,-35.000000,-33.000000,353.000000,1.000000,3.500000
00:37:43.327,2.143,-6.690000,-6.000000,33.000000,10.000000,-29.000000,-25.000000,812.000000,2.000000,8.100000
00:37:43.438,2.254,-6.690000,-6.000000,33.000000,10.000000,-29.000000,-25.000000,812.000000,2.000000,8.100000
00:37:43.546,2.362,4.790000,45.750000,58.000000,17.000000,-20.000000,-13.000000,1438.000000,4.000000,14.400000
00:37:43.659,2.475,4.790000,45.750000,58.000000,17.000000,-20.000000,-13.000000,1438.000000,4.000000,14.400000
00:37:43.767,2.583,25.310000,164.000000,89.000000,26.000000,-9.000000,2.000000,2206.000000,7.000000,22.100000
00:37:43.876,2.692,25.310000,164.000000,89.000000,26.000000,-9.000000,2.000000,2206.000000,7.000000,22.100000
00:37:43.987,2.803,39.510000,254.000000,106.000000,32.000000,-3.000000,10.000000,2634.000000,8.000000,26.299999
00:37:44.095,2.911,39.510000,254.000000,106.000000,32.000000,-3.000000,10.000000,2634.000000,8.000000,26.299999
00:37:44.204,3.020,75.840000,534.000000,143.000000,43.000000,10.000000,28.000000,3557.000000,11.000000,35.599998
00:37:44.314,3.130,123.360000,912.000000,182.000000,54.000000,24.000000,46.000000,4536.000000,14.000000,45.400002
00:37:44.425,3.241,123.360000,912.000000,182.000000,54.000000,24.000000,46.000000,4536.000000,14.000000,45.400002
00:37:44.534,3.350,111.710000,1425.750000,222.000000,66.000000,37.000000,65.000000,5535.000000,17.000000,55.299999
00:37:44.642,3.458,111.710000,1425.750000,222.000000,66.000000,37.000000,65.000000,5535.000000,17.000000,55.299999
00:37:44.753,3.569,64.560000,2006.750000,261.000000,78.000000,51.000000,84.000000,6512.000000,20.000000,65.099998
00:37:44.859,3.675,64.560000,2006.750000,261.000000,78.000000,51.000000,84.000000,6512.000000,20.000000,65.099998
00:37:44.970,3.786,30.750000,2634.000000,297.000000,89.000000,64.000000,-155.000000,7429.000000,22.000000,74.300003
00:37:45.077,3.893,30.750000,2634.000000,297.000000,89.000000,64.000000,-155.000000,7429.000000,22.000000,74.300003
00:37:45.190,4.006,7.760000,3288.000000,330.000000,99.000000,75.000000,-139.000000,8248.000000,25.000000,82.500000
00:37:45.296,4.112,7.760000,3288.000000,330.000000,99.000000,75.000000,-139.000000,8248.000000,25.000000,82.500000
00:37:45.408,4.224,0.240000,3642.000000,345.000000,103.000000,81.000000,-132.000000,8612.000000,25.500000,86.099998
00:37:45.517,4.333,0.240000,3642.000000,345.000000,103.000000,81.000000,-132.000000,8612.000000,25.500000,86.099998
00:37:45.626,4.442,-9.840000,4206.750000,369.000000,111.000000,-167.000000,-121.000000,9227.000000,25.500000,92.300003
00:37:45.733,4.549,-14.640000,4605.750000,387.000000,116.000000,-161.000000,-112.000000,9673.000000,25.500000,96.699997
00:37:45.847,4.663,-14.640000,4605.750000,387.000000,116.000000,-161.000000,-112.000000,9673.000000,25.500000,96.699997
00:37:45.954,4.770,-16.560000,4881.750000,398.000000,119.000000,-157.000000,-107.000000,9933.000000,25.500000,99.300003
00:37:46.066,4.882,-16.560000,4881.750000,398.000000,119.000000,-157.000000,-107.000000,9933.000000,25.500000,99.300003
00:37:46.172,4.988,-17.040000,4952.000000,400.000000,120.000000,-156.000000,-106.000000,9997.000000,25.500000,100.000000
00:37:46.282,5.098,-17.040000,4952.000000,400.000000,120.000000,-156.000000,-106.000000,9997.000000,25.500000,100.000000
00:37:46.392,5.208,-16.290000,4812.000000,395.000000,118.000000,-158.000000,-109.000000,9861.000000,25.500000,98.599998
