ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:27:40.016,0.070,0.837650,-0.174512,-0.273177,-27.317659,-0.075848,,,,,,,,,,,,,27.200000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.128,0.182,0.945741,-0.075848,-0.174512,-37.184082,0.220145,89.910000,765.750000,172.000000,52.000000,20.000000,42.000000,4296.000000,13.000000,43.000000,10.000000,11.000000,12.000000,27.200000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.237,0.291,0.120788,-0.075848,-0.174512,-47.050506,0.022816,148.160000,1206.750000,212.000000,64.000000,34.000000,61.000000,5294.000000,16.000000,52.900002,10.000000,11.000000,12.000000,27.200000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.350,0.404,1.165445,-0.075848,-0.174512,-37.184082,0.220145,148.160000,1206.750000,212.000000,64.000000,34.000000,61.000000,5294.000000,16.000000,52.900002,10.000000,11.000000,12.000000,27.200000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.456,0.510,-0.476250,0.022816,-0.174512,-27.317659,-0.075848,96.240000,1788.000000,251.000000,75.000000,48.000000,79.000000,6279.000000,19.000000,62.799999,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.564,0.618,1.382288,-0.075848,-0.273177,-27.317659,0.220145,96.240000,1788.000000,251.000000,75.000000,48.000000,79.000000,6279.000000,19.000000,62.799999,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.675,0.729,0.876359,-0.075848,-0.174512,-27.317659,0.121480,54.000000,2382.750000,289.000000,87.000000,61.000000,-159.000000,7214.000000,22.000000,72.099998,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.781,0.835,1.588123,-0.075848,-0.174512,-17.451236,0.220145,54.000000,2382.750000,289.000000,87.000000,61.000000,-159.000000,7214.000000,22.000000,72.099998,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:40.891,0.945,2.569918,-0.075848,-0.174512,-37.184082,0.318809,25.310000,3062.000000,323.000000,97.000000,73.000000,-143.000000,8061.000000,24.000000,80.599998,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.000,1.054,0.979253,-0.075848,-0.273177,-37.184082,0.121480,25.310000,3062.000000,323.000000,97.000000,73.000000,-143.000000,8061.000000,24.000000,80.599998,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.110,1.164,1.933970,-0.075848,-0.273177,-37.184082,0.220145,5.760000,3642.000000,352.000000,105.000000,83.000000,-129.000000,8785.000000,25.500000,87.900002,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.219,1.273,1.067205,-0.075848,-0.273177,-37.184082,0.121480,5.760000,3642.000000,352.000000,105.000000,83.000000,-129.000000,8785.000000,25.500000,87.900002,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.329,1.383,2.983732,-0.075848,-0.174512,-27.317659,0.318809,-5.290000,4206.750000,375.000000,112.000000,-165.000000,-118.000000,9359.000000,25.500000,93.599998,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.438,1.492,3.999809,-0.174512,-0.273177,-37.184082,0.417473,-8.640000,4404.000000,384.000000,115.000000,-162.000000,-114.000000,9581.000000,25.500000,95.800003,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.548,1.602,2.109205,-0.075848,-0.174512,-37.184082,0.220145,-8.640000,4404.000000,384.000000,115.000000,-162.000000,-114.000000,9581.000000,25.500000,95.800003,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.657,1.711,4.127973,0.022816,-0.174512,-27.317659,0.417473,-12.490000,4674.000000,396.000000,119.000000,-158.000000,-108.000000,9888.000000,25.500000,98.900002,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.767,1.821,2.176789,0.022816,-0.174512,-47.050506,0.220145,-12.490000,4674.000000,396.000000,119.000000,-158.000000,-108.000000,9888.000000,25.500000,98.900002,10.000000,11.000000,12.000000,27.200000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.876,1.930,0.228161,-0.174512,-0.273177,-37.184082,0.022816,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:41.985,2.039,2.201446,-0.174512,-0.371841,-56.916929,0.220145,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
