ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
21:47:07.222,0.095,0.135389,-0.075848,-0.075848,-14.640000,-17.250000,25.000000,7.000000,-31.000000,-28.000000,615.000000,2.000000,6.100000,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:07.329,0.202,0.135389,-0.174512,-0.174512,-14.640000,-17.250000,25.000000,7.000000,-31.000000,-28.000000,615.000000,2.000000,6.100000,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.750000,27.540000
21:47:07.440,0.313,0.182729,-0.075848,-0.174512,-17.250000,-18.000000,9.000000,3.000000,-37.000000,-36.000000,225.000000,1.000000,2.200000,-27.317659,0.812130,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.750000,27.540000
21:47:07.547,0.420,0.027333,-0.075848,-0.174512,-17.250000,-18.000000,9.000000,3.000000,-37.000000,-36.000000,225.000000,1.000000,2.200000,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:07.657,0.530,0.032200,-0.075848,-0.174512,-17.760000,-18.000000,4.000000,1.000000,-39.000000,-38.000000,101.000000,0.000000,1.000000,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:07.768,0.641,0.042165,-0.075848,-0.174512,-17.760000,-18.000000,4.000000,1.000000,-39.000000,-38.000000,101.000000,0.000000,1.000000,-27.317659,0.417473,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:07.876,0.749,0.000000,-0.075848,-0.174512,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,0.000000,0.000000,0.000000,-17.451236,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.750000,27.540000
21:47:07.986,0.859,0.002259,-0.174512,-0.174512,-17.760000,-18.000000,4.000000,1.000000,-39.000000,-38.000000,99.000000,0.000000,1.000000,-27.317659,0.022816,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:08.099,0.972,0.021794,0.121480,0.022816,-17.760000,-18.000000,4.000000,1.000000,-39.000000,-38.000000,99.000000,0.000000,1.000000,-7.584813,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:08.207,1.080,0.086517,-0.075848,-0.174512,-16.290000,-18.000000,16.000000,5.000000,-35.000000,-33.000000,393.000000,1.000000,3.900000,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.530000
21:47:08.314,1.187,0.086517,-0.174512,-0.174512,-16.290000,-18.000000,16.000000,5.000000,-35.000000,-33.000000,393.000000,1.000000,3.900000,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.530000
21:47:08.424,1.297,0.277364,0.022816,-0.075848,-12.000000,-9.250000,35.000000,10.000000,-28.000000,-23.000000,870.000000,3.000000,8.700000,-7.584813,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.530000
21:47:08.536,1.409,0.277364,-0.075848,-0.075848,-12.000000,-9.250000,35.000000,10.000000,-28.000000,-23.000000,870.000000,3.000000,8.700000,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:08.641,1.514,0.631637,0.022816,-0.174512,-2.250000,38.000000,61.000000,18.000000,-19.000000,-11.000000,1513.000000,5.000000,15.100000,-27.317659,0.417473,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:08.754,1.627,0.333079,0.121480,-0.075848,-2.250000,38.000000,61.000000,18.000000,-19.000000,-11.000000,1513.000000,5.000000,15.100000,-7.584813,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:08.864,1.737,0.505012,-0.075848,-0.075848,15.390000,150.750000,92.000000,28.000000,-8.000000,4.000000,2294.000000,7.000000,22.900000,-7.584813,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:08.971,1.844,0.505012,0.121480,-0.075848,15.390000,150.750000,92.000000,28.000000,-8.000000,4.000000,2294.000000,7.000000,22.900000,-7.584813,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:09.079,1.952,0.869392,0.121480,-0.075848,27.990000,254.000000,109.000000,33.000000,-2.000000,12.000000,2727.000000,8.000000,27.299999,-7.584813,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:09.188,2.061,1.165884,-0.075848,-0.174512,60.960000,510.750000,147.000000,44.000000,11.000000,29.000000,3657.000000,11.000000,36.599998,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.303,2.176,0.805069,0.022816,-0.075848,60.960000,510.750000,147.000000,44.000000,11.000000,29.000000,3657.000000,11.000000,36.599998,2.281610,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:09.408,2.281,1.479592,-0.174512,-0.174512,107.190000,912.000000,186.000000,56.000000,25.000000,48.000000,4641.000000,14.000000,46.400002,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.516,2.389,1.021691,-0.075848,-0.075848,107.190000,912.000000,186.000000,56.000000,25.000000,48.000000,4641.000000,14.000000,46.400002,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.627,2.500,1.797763,-0.075848,-0.174512,128.160000,1388.000000,226.000000,68.000000,39.000000,67.000000,5639.000000,17.000000,56.400002,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
